group_id,name,student_count,enrolled_courses,preferred_break_duration
1,BEI2,48,"ENCT 151, ENCT 151-PR, ENEE 154, ENEE 154-PR, ENEX 151, ENEX 151-PR, ENEX 152, ENEX 152-PR, ENSH 151, ENSH 153, ENSH 153-PR",50
2,BEI4,48,"ENCT 251, ENEX 252, ENEX 252-PR, ENEX 253, ENEX 253-PR, ENEX 254, ENEX 254-PR, ENEX 255, ENEX 255-PR, ENSH 252, ENSH 252-PR",50
3,BCT2,48,"ENCT 151, ENCT 151-PR, ENEE 154, ENEE 154-PR, ENEX 151, ENEX 151-PR, ENEX 152, ENEX 152-PR, ENSH 151, ENSH 153, ENSH 153-PR",50
4,BCT4,48,"ENCT 252, ENCT 252-PR, ENCT 253, ENCT 253-PR, ENCT 254, ENCT 254-PR, ENEX 252, ENEX 252-PR, ENEX 254, ENEX 254-PR, ENSH 252, ENSH 252-PR",50
5,BAE2,48,"ENME 151, ENME 151-PR, ENME 152, ENME 153, ENME 155, ENME 155-PR, ENSH 151, ENSH 153, ENSH 153-PR",50
6,BAE4,48,"ENEE 254, ENEE 254-PR, ENME 252, ENME 252-PR, ENME 253, ENME 253-PR, ENME 255, ENME 255-PR, ENME 256, ENSH 252, ENSH 252-PR",50
7,BCE2,48,"ENCE 151, ENCE 151-PR, ENCE 152, ENCE 152-PR, ENCE 153, ENCE 153-PR, ENME 158, ENME 158-PR, ENSH 151, ENSH 152, ENSH 152-PR",50
8,BCE4,48,"ENCE 251, ENCE 251-PR, ENCE 252, ENCE 252-PR, ENCE 253, ENCE 253-PR, ENCE 254, ENCE 254-PR, ENCE 255, ENCE 256, ENSH 251, ENSH 251-PR, ENSH 253",50
9,BIE2,48,"ENME 151, ENME 151-PR, ENME 152, ENME 153, ENME 155, ENME 155-PR, ENSH 151, ENSH 153, ENSH 153-PR",50
10,BIE4,48,"ENEE 254, ENEE 254-PR, ENIE 251, ENIE 251-PR, ENIE 252, ENIE 253, ENIE 253-PR, ENIE 254, ENME 255, ENME 255-PR, ENSH 252, ENSH 252-PR",50
11,BME2,48,"ENME 151, ENME 151-PR, ENME 152, ENME 153, ENME 155, ENME 155-PR, ENSH 151, ENSH 152, ENSH 152-PR",50
12,BME4,48,"ENEE 254, ENEE 254-PR, ENME 251, ENME 251-PR, ENME 252, ENME 252-PR, ENME 253, ENME 253-PR, ENME 254, ENME 254-PR, ENSH 253",50
13,BARCH2,48,"ENAR 151, ENAR 151-PR, ENAR 152, ENAR 152-PR, ENAR 153, ENAR 153-PR, ENAR 154, ENAR 154-PR, ENAR 155, ENAR 155-PR, ENCE 156, ENSH 155",50
14,BARCH4,48,"ENAR 251, ENAR 251-PR, ENAR 252, ENAR 253, ENAR 253-PR, ENAR 254, ENAR 255, ENAR 255-PR, ENCE 260, ENCE 261, ENCE 261-PR",50